Agent ID,Agent Name,Agent Type,taxonomy ID,txonomy level,Lineage,Agent properties,HAMAP,Viralzone,GOLD
Bordetella pertussis N/S Toxin,Bordetella pertussis N/S Toxin,Toxin,520,2,"[<a href=""/agents/17""> Bordetella</a>, <a href=""/agents/18""> pertussis</a>, <a href=""/agents/20""> N/S</a>, <a href=""/agents/21""> Toxin</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/5"">Cell coat</a> : <a href=""/agentProperties/8"">Encapsulated</a> </p>]","
            -
		    ",,
Borrelia burgdorferi N/S,Borrelia burgdorferi N/S,Bacterium,139,1,"[<a href=""/agents/22""> Borrelia</a>, <a href=""/agents/23""> burgdorferi</a>, <a href=""/agents/24""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/9"">Microaerophilic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/10"">Periplasmic flagella</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/11"">Spirochete</a> </p>]","
            -
		    ",,
Borrelia hermsii N/S,Borrelia hermsii N/S,Bacterium,140,1,"[<a href=""/agents/22""> Borrelia</a>, <a href=""/agents/25""> hermsii</a>, <a href=""/agents/26""> N/S</a>]",,"
            -
		    ",,
Burkholderia cenocepacia J2135,Burkholderia cenocepacia J2135,Bacterium,216591,0,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/28""> cenocepacia</a>, <a href=""/agents/548""> J2135</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
BURCJ
",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=213060"" target=""_new"">213060</a></p>]"
Burkholderia cenocepacia N/S,Burkholderia cenocepacia N/S,Bacterium,95486,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/28""> cenocepacia</a>, <a href=""/agents/29""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,
Burkholderia cepacia,Burkholderia cepacia,Bacterium,292,0,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/30""> cepacia</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURCE
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=1983"" target=""_new"">1983</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=93221"" target=""_new"">93221</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=93222"" target=""_new"">93222</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=93223"" target=""_new"">93223</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=97230"" target=""_new"">97230</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106033"" target=""_new"">106033</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106034"" target=""_new"">106034</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106035"" target=""_new"">106035</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106036"" target=""_new"">106036</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=108988"" target=""_new"">108988</a></p>]"
Burkholderia cepacia 25416,Burkholderia cepacia 25416,Bacterium,292,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/30""> cepacia</a>, <a href=""/agents/32""> 25416</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURCE
		    ",,
Burkholderia cepacia ATCC 13945,Burkholderia cepacia ATCC 13945,Bacterium,292,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/30""> cepacia</a>, <a href=""/agents/31""> ATCC 13945</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,
Burkholderia cepacia ML1,Burkholderia cepacia ML1,Bacterium,292,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/30""> cepacia</a>, <a href=""/agents/33""> ML1</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURCE
		    ",,
Burkholderia cepacia N/S,Burkholderia cepacia N/S,Bacterium,292,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/30""> cepacia</a>, <a href=""/agents/34""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,
Burkholderia oklahomensis EO147,Burkholderia oklahomensis EO147,Bacterium,441163,0,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/35""> oklahomensis</a>, <a href=""/agents/36""> EO147</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=1069"" target=""_new"">1069</a></p>]"
Burkholderia pseudomallei H-99,Burkholderia pseudomallei H-99,Bacterium,28450,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/37""> pseudomallei</a>, <a href=""/agents/38""> H-99</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURPE
		    ",,
Burkholderia pseudomallei Sp-140,Burkholderia pseudomallei Sp-140,Bacterium,28450,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/37""> pseudomallei</a>, <a href=""/agents/39""> Sp-140</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURPE
		    ",,
Burkholderia pseudomallei Sp-186,Burkholderia pseudomallei Sp-186,Bacterium,28450,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/37""> pseudomallei</a>, <a href=""/agents/40""> Sp-186</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURPE
		    ",,
Burkholderia pseudomallei Sp-335,Burkholderia pseudomallei Sp-335,Bacterium,28450,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/37""> pseudomallei</a>, <a href=""/agents/41""> Sp-335</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURPE
		    ",,
Burkholderia pseudomallei U-232,Burkholderia pseudomallei U-232,Bacterium,28450,1,"[<a href=""/agents/27""> Burkholderia</a>, <a href=""/agents/37""> pseudomallei</a>, <a href=""/agents/42""> U-232</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/12"">Facultative intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            BURPE
		    ",,
Campylobacter jejuni N/S,Campylobacter jejuni N/S,Bacterium,197,1,"[<a href=""/agents/43""> Campylobacter</a>, <a href=""/agents/44""> jejuni</a>, <a href=""/agents/45""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/9"">Microaerophilic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/15"">Helical</a> </p>]","
            -
		    ",,
Campylobacter jejuni N/S Enterotoxin,Campylobacter jejuni N/S Enterotoxin,Toxin,197,2,"[<a href=""/agents/43""> Campylobacter</a>, <a href=""/agents/44""> jejuni</a>, <a href=""/agents/46""> N/S</a>, <a href=""/agents/47""> Enterotoxin</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/9"">Microaerophilic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/15"">Helical</a> </p>]","
            -
		    ",,
Campylobacter upsaliensis N/S,Campylobacter upsaliensis N/S,Bacterium,28080,1,"[<a href=""/agents/43""> Campylobacter</a>, <a href=""/agents/48""> upsaliensis</a>, <a href=""/agents/49""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/16"">Microaerophilic to anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/17"">Spiral or comma shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,
Candida albicans ATCC 18804,Candida albicans ATCC 18804,Fungus,5476,0,"[<a href=""/agents/50""> Candida</a>, <a href=""/agents/51""> albicans</a>, <a href=""/agents/52""> ATCC 18804</a>]",,"
            CANAX
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=3119"" target=""_new"">3119</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=6758"" target=""_new"">6758</a></p>]"
Candida albicans HFH 44,Candida albicans HFH 44,Fungus,5476,1,"[<a href=""/agents/50""> Candida</a>, <a href=""/agents/51""> albicans</a>, <a href=""/agents/53""> HFH 44</a>]",,"
            -
		    ",,
Candida albicans HFH 45,Candida albicans HFH 45,Fungus,5476,1,"[<a href=""/agents/50""> Candida</a>, <a href=""/agents/51""> albicans</a>, <a href=""/agents/54""> HFH 45</a>]",,"
            -
		    ",,
Candida albicans N/S,Candida albicans N/S,Fungus,5476,1,"[<a href=""/agents/50""> Candida</a>, <a href=""/agents/51""> albicans</a>, <a href=""/agents/55""> N/S</a>]",,"
            -
		    ",,
